ID	Date	Title	First_Author	Year	Venue	Cite_Key	Status	Repro	Valid	Claims	Pedagogy	Longevity	Book_Location	Notes
ch25-001	2025-12-22	[GPN] DNA language models are powerful predictors of genome-wide variant effects	Benegas	2023	Proceedings of the National Academy of Sciences	benegas_gpn_2023	INCLUDE	3	1	OK	M	?	Chapter 25: Clinical Risk — Feature Integration Architectures	
ch25-002	2025-12-22	CpGPT: a Foundation Model for DNA Methylation	Camillo	2024		camillo_cpgpt_2024	MONITOR	3	1	OK	L	?	Chapter 25: Clinical Risk — Feature Integration Architectures	bioRxiv preprint; GitHub repo and model zoo available.
ch25-003	2025-12-22	[GLUE] Multi-omics single-cell data integration and regulatory inference with graph-linked embedding	Cao	2022	Nature Biotechnology	cao_glue_2022	INCLUDE	2	1	OK	H	+	Chapter 25: Clinical Risk — Feature Integration Architectures	
ch25-004	2025-12-22	[DeepRVAT] Integration of variant annotations using deep set networks boosts rare variant association testing	Clarke	2024	Nature Genetics	clarke_deeprvat_2024	INCLUDE	3	2	OK	M	+	Chapter 25: Clinical Risk — Feature Integration Architectures	
ch25-005	2025-12-22	Nucleotide Transformer: building and evaluating robust foundation models for human genomics	Dalla-Torre	2023	Nature Methods	dalla-torre_nucleotide_2023	INCLUDE	3	1	OK	H	+	Chapter 25: Clinical Risk — Feature Integration Architectures	
ch25-006	2025-12-22	Delphi: A Deep-learning Method for Polygenic Risk Prediction	Georgantas	2024		georgantas_delphi_2024	MONITOR	1	0	OVER	L	?	Chapter 25: Clinical Risk — From Polygenic Scores to Foundation Model Features	medRxiv preprint; no journal version found in web check.
ch25-007	2025-12-22	SetQuence \& SetOmic: Deep set transformers for whole genome and exome tumour analysis	Jurenaite	2024	BioSystems	jurenaite_setquence_2024	MONITOR	1	1	OK	L	?	Chapter 25: Clinical Risk — Feature Integration Architectures	
ch25-008	2025-12-22	DeepSurv: personalized treatment recommender system using a Cox proportional hazards deep neural network	Katzman	2018	BMC Medical Research Methodology	katzman_deepsurv_2018	CITED	2	0	OK	L	?	Chapter 25: Clinical Risk — Temporal Modeling Architectures	GitHub: jaredleekatzman/DeepSurv
ch25-009	2025-12-22	[G2PT] A genotype-phenotype transformer to assess and explain polygenic risk	Lee	2025		lee_g2pt_2025	MONITOR	2	0	OK	L	?	Chapter 25: Clinical Risk — From Polygenic Scores to Foundation Model Features	bioRxiv preprint; GitHub repo available.
ch25-010	2025-12-22	MoGCN: A Multi-Omics Integration Method Based on Graph Convolutional Network for Cancer Subtype Analysis	Li	2022	Frontiers in Genetics	li_mogcn_2022	CITED	1	1	OK	L	?	Chapter 25: Clinical Risk — Feature Integration Architectures	
ch25-011	2025-12-22	Deep Cox mixtures for survival regression	Nagpal	2021	Machine Learning for Healthcare (PMLR)	nagpal_deep_2021	CITED	2	0	OK	L	?	Chapter 25: Clinical Risk — Temporal Modeling Architectures	GitHub: chiragnagpal/deep_cox_mixtures
ch25-012	2025-12-22	HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution	Nguyen	2023		nguyen_hyenadna_2023	INCLUDE	3	1	OK	M	?	Chapter 25: Clinical Risk — Feature Integration Architectures	Preprint has a conference publication (NeurIPS 2023).
ch25-013	2025-12-22	[MIFM] Multiple instance fine-mapping: predicting causal regulatory variants with a deep sequence model	Rakowski	2025		rakowski_mifm_2025	MONITOR	1	1	OK	L	?	Chapter 25: Clinical Risk — From Polygenic Scores to Foundation Model Features	bioRxiv preprint; no journal version found in web check.
ch25-014	2025-12-22	Self-supervised transformer for time series representation learning	Tipirneni	2022	ACM Transactions on Knowledge Discovery from Data	tipirneni_self_2022	CITED	1	0	OK	L	?	Chapter 25: Clinical Risk — Temporal Modeling Architectures	Commonly referenced as STraTS (check PDF for exact title/version).
